Contact idx: 0; Affordance value: 0.01089355
Contact idx: 1; Affordance value: 0.01832511
Contact idx: 2; Affordance value: 0.02033455
Contact idx: 3; Affordance value: 0.02156436
Contact idx: 4; Affordance value: 0.02255110
Contact idx: 5; Affordance value: 0.02248238
Contact idx: 6; Affordance value: 0.02103633
Contact idx: 7; Affordance value: 0.01957906
Contact idx: 8; Affordance value: 0.01755247
Contact idx: 9; Affordance value: 0.01482191
Contact idx: 10; Affordance value: 0.01221899
Contact idx: 11; Affordance value: 0.00950578
Contact idx: 12; Affordance value: 0.00739253
Contact idx: 13; Affordance value: 0.00746049
Contact idx: 14; Affordance value: 0.00739923
Contact idx: 15; Affordance value: 0.00606600
Contact idx: 16; Affordance value: 0.00449655
Contact idx: 17; Affordance value: 0.00307286
Contact idx: 18; Affordance value: 0.00223008
Contact idx: 19; Affordance value: 0.01749213
Contact idx: 20; Affordance value: 0.05494921
Contact idx: 21; Affordance value: 0.09226956
Contact idx: 22; Affordance value: 0.13805343
Contact idx: 23; Affordance value: 0.19854518
Contact idx: 24; Affordance value: 0.26713606
Contact idx: 25; Affordance value: 0.36045064
Contact idx: 26; Affordance value: 0.47396725
Contact idx: 27; Affordance value: 0.60923830
Contact idx: 28; Affordance value: 0.76832715
Contact idx: 29; Affordance value: 0.95884614
Contact idx: 30; Affordance value: 1.14599967
Contact idx: 31; Affordance value: 1.30856051
Contact idx: 32; Affordance value: 1.42447663
Contact idx: 33; Affordance value: 1.35681686
Contact idx: 34; Affordance value: 1.00442962
Contact idx: 35; Affordance value: 0.29075523
Contact idx: 36; Affordance value: 0.85396923
Contact idx: 37; Affordance value: 2.13089353
Contact idx: 38; Affordance value: 3.23117966
Contact idx: 39; Affordance value: 3.80424563
Contact idx: 40; Affordance value: 4.15853296
Contact idx: 41; Affordance value: 4.23215381
Contact idx: 42; Affordance value: 4.06908415
Contact idx: 43; Affordance value: 3.98091699
Contact idx: 44; Affordance value: 3.72851616
Contact idx: 45; Affordance value: 3.29698576
Contact idx: 46; Affordance value: 2.93359403
Contact idx: 47; Affordance value: 2.60727956
Contact idx: 48; Affordance value: 2.24596896
Contact idx: 49; Affordance value: 1.96402774
Contact idx: 50; Affordance value: 1.74630444
Contact idx: 51; Affordance value: 2.25772089
Contact idx: 52; Affordance value: 2.28811420
Contact idx: 53; Affordance value: 2.15630392
Contact idx: 54; Affordance value: 1.99867574
Contact idx: 55; Affordance value: 1.79420111
Contact idx: 56; Affordance value: 1.56584616
Contact idx: 57; Affordance value: 1.32217371
Contact idx: 58; Affordance value: 1.08833516
Contact idx: 59; Affordance value: 0.88860125
Contact idx: 60; Affordance value: 0.68574377
Contact idx: 61; Affordance value: 0.45054627
Contact idx: 62; Affordance value: 0.30262027
Contact idx: 63; Affordance value: 0.24193748
Contact idx: 64; Affordance value: 0.14074744
Contact idx: 65; Affordance value: 0.10903838
Contact idx: 66; Affordance value: 0.28012873
Contact idx: 67; Affordance value: 0.50431202
Contact idx: 68; Affordance value: 0.76929332
Contact idx: 69; Affordance value: 0.99767241
Contact idx: 70; Affordance value: 1.21716577
Contact idx: 71; Affordance value: 1.39125129
Contact idx: 72; Affordance value: 1.45582760
Contact idx: 73; Affordance value: 1.28155517
Contact idx: 74; Affordance value: 0.78224929
Contact idx: 75; Affordance value: 0.46285630
Contact idx: 76; Affordance value: 1.46635159
Contact idx: 77; Affordance value: 2.48734667
Contact idx: 78; Affordance value: 3.18432132
Contact idx: 79; Affordance value: 3.59347611
Contact idx: 80; Affordance value: 3.67014584
Contact idx: 81; Affordance value: 3.69948988
Contact idx: 82; Affordance value: 3.50117488
Contact idx: 83; Affordance value: 3.01284796
Contact idx: 84; Affordance value: 2.68520112
Contact idx: 85; Affordance value: 2.35992348
Contact idx: 86; Affordance value: 2.02139884
Contact idx: 87; Affordance value: 1.83620091
Contact idx: 88; Affordance value: 1.59256935
Contact idx: 89; Affordance value: 1.30499521
Contact idx: 90; Affordance value: 1.04878059
Contact idx: 91; Affordance value: 0.79801537
Contact idx: 92; Affordance value: 0.52935157
Contact idx: 93; Affordance value: 0.22200783
Contact idx: 94; Affordance value: 0.04057685
Contact idx: 95; Affordance value: 0.02182451
Contact idx: 96; Affordance value: 0.02120326
Contact idx: 97; Affordance value: 0.01909788
Contact idx: 98; Affordance value: 0.01562443
Contact idx: 99; Affordance value: 0.01278563
